Codigo,Municipio,Localidad,HilerasMazorca,NumeroGranos,LongitudMazorca,DiametroMazorca,RatioDiamLongMazorca,PesoMazorca,DiamOlote,PesoSemillas,GranoLongitud,GranoAnchura,GranoGrosor,RatioAnchLongGrano,RatioGrosAnchGrano,Volumen100Granos,Peso100Granos,FormaMazorca,DisposicionHileras,TipoGrano,ColorGrano,ColorOlote,Coordenadas,Latitud,Longitud
less1,San Bartolo Tutotepec,La Joya,14,32,15.3,4.91,0.3209150327,154,2.6,143.7,14.3,8.16,3.47,0.5706293706,0.425245098,52,33.5,cónica-cilíndrica,irregular,harinoso (A),"azul (K),azul oscuro (L),blanco cremoso,negro",blanco cremoso,"⁦20°24'05""N⁩ ⁦98°12'02""W⁩",20.401389,-98.200556
less2,San Bartolo Tutotepec,La Joya,10,46,20.7,4.04,0.1951690821,143.4,2.7,118.9,9.47,9.76,3.29,1.03062302,0.3370901639,39,28.2,cónica-cilíndrica,irregular,semi-harinoso,"amarillo medio,azul (K),blanco cremoso",amarillo claro,"⁦20°24'05""N⁩ ⁦98°12'02""W⁩",20.401389,-98.200556
less3,San Bartolo Tutotepec,La Joya,10,37,15.4,4.04,0.2623376623,113.7,2.3,100.1,10.6,9.04,3.33,0.8528301887,0.3683628319,40,26.5,cónica-cilíndrica,irregular,harinoso (A),"azul (K),blanco (A),blanco cremoso",rojo naranja,"⁦20°24'05""N⁩ ⁦98°12'02""W⁩",20.401389,-98.200556
diana1,San Bartolo Tutotepec,La Joya,10,37,18.5,4.74,0.2562162162,173.3,2.3,147.3,11.4,10.5,3.54,0.9210526316,0.3371428571,58,38.4,cónica-cilíndrica,irregular,dentado (C),"azul oscuro (L),blanco cremoso,negro,rojo oscuro",blanco cremoso,"⁦20°24'08""N⁩ ⁦98°12'07""W⁩",20.402222,-98.201944
diana2,San Bartolo Tutotepec,La Joya,10,41,18.5,4.81,0.26,207.3,2.7,175.9,11.1,9.47,3.55,0.8531531532,0.3748680042,50,37.1,cónica-cilíndrica,regular,cristalino (F),"amarillo naranja (F),azul (K),blanco cremoso,café (E)",rojo,"⁦20°24'08""N⁩ ⁦98°12'07""W⁩",20.402222,-98.201944
diana3,San Bartolo Tutotepec,La Joya,12,37,15.2,4.84,0.3184210526,154.7,3.1,130.5,10.2,9.85,3.07,0.9656862745,0.3116751269,44,28.7,cónica-cilíndrica,"en espiral,irregular",semi-harinoso,"azul (K),blanco cremoso,rojo (I)",blanco cremoso,"⁦20°24'08""N⁩ ⁦98°12'07""W⁩",20.402222,-98.201944
belen1,San Bartolo Tutotepec,La Joya,11,32,15.7,4.62,0.2942675159,158.2,2.1,143.2,11.9,10.2,4.25,0.8571428571,0.4166666667,56,39.3,cónica-cilíndrica,regular,dentado (C),"amarillo claro,blanco (A)",blanco,"⁦20°24'11""N⁩ ⁦98°12'01""W⁩",20.403056,-98.200278
belen2,San Bartolo Tutotepec,La Joya,11,41,18.7,4.84,0.2588235294,184.4,2.6,165.4,12.8,10.5,3.63,0.8203125,0.3457142857,63,41.6,cónica-cilíndrica,regular,dentado (C),"azul oscuro (L),blanco (A)","blanco,rojo naranja","⁦20°24'11""N⁩ ⁦98°12'01""W⁩",20.403056,-98.200278
belen3,San Bartolo Tutotepec,La Joya,10,29,15.2,4.58,0.3013157895,140.4,2.3,126.4,11.9,10.2,4.25,0.8571428571,0.4166666667,51,37.4,cónica-cilíndrica,regular,dentado (C),blanco (A),"blanco cremoso,rojo","⁦20°24'11""N⁩ ⁦98°12'01""W⁩",20.403056,-98.200278
mari1,San Bartolo Tutotepec,La Joya,14,33,15.4,7.51,0.4876623377,190.2,2.3,131.4,12.8,8.59,3.46,0.67109375,0.4027939464,50,28.1,cónica-cilíndrica,regular,dentado (C),blanco cremoso,blanco cremoso,"⁦20°24'14""N⁩ ⁦98°12'05""W⁩",20.403889,-98.201389
